frame_path,f1_score_200_480p,f1_score_400_480p,f1_score_800_480p,f1_score_1200_480p,f1_score_2200_480p,f1_score_3300_480p,f1_score_5000_480p,f1_score_6500_480p,f1_score_8600_480p,f1_score_10000_480p,f1_score_12000_480p,f1_score_200_720p,f1_score_400_720p,f1_score_800_720p,f1_score_1200_720p,f1_score_2200_720p,f1_score_3300_720p,f1_score_5000_720p,f1_score_6500_720p,f1_score_8600_720p,f1_score_10000_720p,f1_score_12000_720p,f1_score_200_1080p,f1_score_400_1080p,f1_score_800_1080p,f1_score_1200_1080p,f1_score_2200_1080p,f1_score_3300_1080p,f1_score_5000_1080p,f1_score_6500_1080p,f1_score_8600_1080p,f1_score_10000_1080p,f1_score_12000_1080p
0001.JPEG,0.6636636636636636,0.8121091871091872,0.9523809523809524,0.9433719433719433,0.9244837758112094,0.9523809523809524,0.9216374269005847,0.9523809523809524,0.9107142857142857,0.9078171091445428,0.9294805641554866,0.5232599749507961,0.8602415593241282,0.8454267445093132,0.9743589743589743,0.9523809523809524,0.8303303303303302,0.9493779493779493,0.9464285714285715,0.9523809523809524,0.9464285714285715,0.9464285714285715,0.43034743034743034,0.8242652400766132,0.9523809523809524,0.9136636636636636,0.9553303303303303,0.9303303303303303,0.9493779493779493,0.9743589743589743,0.9713559713559713,0.9713559713559713,1.0
0002.JPEG,0.34087643678160917,0.3993055555555556,0.46750679515690635,0.46944444444444444,0.4727699530516432,0.4691721935642348,0.46968250179040344,0.473002421307506,0.473002421307506,0.48034369114877584,0.4691721935642348,0.13492063492063494,0.4564662177850011,0.4516926118112182,0.4770141629904806,0.4770141629904806,0.4767247553115302,0.7233992467043314,0.46904969485614645,0.733954802259887,0.7466666666666666,0.7397260273972603,0.05714285714285715,0.36875,0.4670178653229501,0.4897260273972603,0.4887628424657534,0.7387628424657534,0.7465753424657534,0.7426070884974995,0.996031746031746,1.0,1.0
0003.JPEG,0.24031007751937983,0.6293883904797019,0.6454646899410171,0.6447971781305114,0.6546184738955824,0.659414356454946,0.659414356454946,0.659414356454946,0.6666666666666666,0.6626506024096385,0.6666666666666666,0.4148148148148149,0.63,0.6466666666666666,0.6593502723766352,0.6561146546972202,0.9959839357429718,0.6626506024096385,0.6626506024096385,0.9959839357429718,0.9959839357429718,0.6626506024096385,0.5831884057971014,0.565132983886624,0.6626506024096385,0.6666666666666666,0.6666666666666666,0.6626506024096385,0.6666666666666666,1.0,1.0,1.0,1.0
0004.JPEG,0.8584499829293274,0.9756760019314341,0.962000962000962,0.9665007889306955,0.967690220742385,0.9710855182553295,0.9710855182553295,0.9777455249153362,0.9842369238117985,0.9810118976084605,0.9810118976084605,0.825106598251066,0.9742261684548033,0.972746457642448,0.9823400898167254,0.9873417721518987,0.9968553459119497,0.9873417721518987,0.9936708860759493,0.9968553459119497,0.9968553459119497,0.9968553459119497,0.8001246300046736,0.9500254971953086,0.977124183006536,0.9838709677419355,0.9968553459119497,0.9936708860759493,0.99375,0.9968553459119497,0.9968553459119497,1.0,1.0
0005.JPEG,0.4918032786885246,0.5,0.5625,0.6176470588235294,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6176470588235294,0.625,0.5,0.5,0.7857142857142858,0.7857142857142858,0.7,0.75,0.9,0.9,0.9,1.0,1.0,0.4918032786885246,1.0,0.8333333333333333,0.9,0.9,0.7857142857142858,0.9,1.0,1.0,1.0,1.0
0006.JPEG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0007.JPEG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0008.JPEG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0009.JPEG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9259259259259259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0010.JPEG,0.0,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.0,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.5,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.5,0.5,0.5,0.5,1.0
