BIT,SKIP,RE,mean_time
0,0,0,0.7575151297501288
0,0,1,0.6369610082020517
0,0,2,0.49989960496430286
0,0,3,0.37436009974521584
0,1,0,0.532400009521516
0,1,1,0.4213053687424399
0,1,2,0.3119335230945144
0,1,3,0.22260308092972264
0,2,0,0.4142107614031993
0,2,1,0.3282040377936792
0,2,2,0.23110277939750812
0,2,3,0.16142108398955313
0,3,0,0.290893031523563
0,3,1,0.21982018810068257
0,3,2,0.14428522825590331
0,3,3,0.09790587125695309
1,0,0,0.7402414638621267
1,0,1,0.6262983393156901
1,0,2,0.49557757014292286
1,0,3,0.3740357923870906
1,1,0,0.5186641394197941
1,1,1,0.4113559228058439
1,1,2,0.3082083115708083
1,1,3,0.22241622738121078
1,2,0,0.4022295965761878
1,2,1,0.3199807145451195
1,2,2,0.22855890435562468
1,2,3,0.16131322115357033
1,3,0,0.28279065552726385
1,3,1,0.21710975616378708
1,3,2,0.14242233551340175
1,3,3,0.09790383201884104
2,0,0,0.725300484255189
2,0,1,0.6202185779444407
2,0,2,0.49284482980286703
2,0,3,0.37360330898780375
2,1,0,0.5078502208292485
2,1,1,0.40385537327989
2,1,2,0.3031929612164386
2,1,3,0.22187159967119804
2,2,0,0.3932967664450407
2,2,1,0.31515267468360253
2,2,2,0.22591440318804235
2,2,3,0.16117226234218102
2,3,0,0.2761698780027218
2,3,1,0.21224418212519958
2,3,2,0.14055940319714133
2,3,3,0.09789751492277717
3,0,0,0.7007987776687368
3,0,1,0.6082665941272862
3,0,2,0.4848700688229874
3,0,3,0.3741461174644064
3,1,0,0.4862435886512976
3,1,1,0.3912607898537535
3,1,2,0.29746316237957215
3,1,3,0.22137466017203405
3,2,0,0.37681254380196333
3,2,1,0.3034493411926087
3,2,2,0.22128375957836396
3,2,3,0.16117549444106405
3,3,0,0.26563504899968393
3,3,1,0.2049179551885463
3,3,2,0.13740569584071632
3,3,3,0.09776798762544056
4,0,0,0.6793112517159897
4,0,1,0.5952802954784129
4,0,2,0.478491836706642
4,0,3,0.3736059860775713
4,1,0,0.4679543013742659
4,1,1,0.3798250334083568
4,1,2,0.29192669361666773
4,1,3,0.22074232107633723
4,2,0,0.36061192203545944
4,2,1,0.29448461510986085
4,2,2,0.21676849760999903
4,2,3,0.1604549979334697
4,3,0,0.2516989260027185
4,3,1,0.19796737136249432
4,3,2,0.13494782639318142
4,3,3,0.09752565574971957
5,0,0,0.6488649011347443
5,0,1,0.5780898736543022
5,0,2,0.46988185922428966
5,0,3,0.3725467991014011
5,1,0,0.4358663581113797
5,1,1,0.36197797269467263
5,1,2,0.2837666496082675
5,1,3,0.21913285351800732
5,2,0,0.3344802764668129
5,2,1,0.2787518926074262
5,2,2,0.2107540119588375
5,2,3,0.1594339730576612
5,3,0,0.23346641336102036
5,3,1,0.18508208184200334
5,3,2,0.12891208297619594
5,3,3,0.09673111766134386
6,0,0,0.6220402552639134
6,0,1,0.5624967850672546
6,0,2,0.46025065000145693
6,0,3,0.36978861008933744
6,1,0,0.4080664780621882
6,1,1,0.3443989514079876
6,1,2,0.2748212716164999
6,1,3,0.21549769036774521
6,2,0,0.30893935668608175
6,2,1,0.2643626673615072
6,2,2,0.20343252510367893
6,2,3,0.1568932331150863
6,3,0,0.21240128677384926
6,3,1,0.1728509057178162
6,3,2,0.12410958884074351
6,3,3,0.09479078484303316
7,0,0,0.5931455924240873
7,0,1,0.5407752707116306
7,0,2,0.4471960102615412
7,0,3,0.3637708791161422
7,1,0,0.3770887096608057
7,1,1,0.32308938871370624
7,1,2,0.2621385969996918
7,1,3,0.2097058000504039
7,2,0,0.28537621611496433
7,2,1,0.24202350983256474
7,2,2,0.19329720564256422
7,2,3,0.152370868607657
7,3,0,0.19254936482012272
7,3,1,0.15426129723619667
7,3,2,0.11689647321053777
7,3,3,0.09130394062260162
8,0,0,0.5786604490675963
8,0,1,0.5283909742024261
8,0,2,0.4383126526661217
8,0,3,0.36003290294227186
8,1,0,0.365580182028003
8,1,1,0.3138521880980115
8,1,2,0.25350852534826845
8,1,3,0.20604800806520507
8,2,0,0.27254735268233343
8,2,1,0.23276595552661455
8,2,2,0.18481558501417747
8,2,3,0.1494708044340368
8,3,0,0.17951849026093258
8,3,1,0.146358643413987
8,3,2,0.112047143101925
8,3,3,0.0887388151225168
9,0,0,0.561373982350342
9,0,1,0.5118186567483936
9,0,2,0.4272546750430483
9,0,3,0.3529883266529068
9,1,0,0.3489092763606459
9,1,1,0.3031507472572848
9,1,2,0.24552891194634138
9,1,3,0.20104506033821962
9,2,0,0.2566032005797606
9,2,1,0.22157738435617647
9,2,2,0.1769855556625407
9,2,3,0.1450727614962961
9,3,0,0.1629705388785805
9,3,1,0.13611746490653603
9,3,2,0.1063795723810326
9,3,3,0.0860160718350671
10,0,0,0.5523184143248946
10,0,1,0.49822659338009545
10,0,2,0.4201225052021909
10,0,3,0.3472853856766596
10,1,0,0.3397597194383852
10,1,1,0.29485930502414703
10,1,2,0.24138247756543568
10,1,3,0.19727398451487532
10,2,0,0.2470233399462886
10,2,1,0.21421776519552804
10,2,2,0.1729082486447878
10,2,3,0.14157462938642126
10,3,0,0.15261677123629483
10,3,1,0.12997713790833948
10,3,2,0.10278701285272834
10,3,3,0.08381863721692932
